EmpID,Gender,PreviousExperience,InterviewScore,SkillScore,PersonalityScore,AftEval
E0001337215,1,0,48,78,91,1
E0001337023,0,2,54,50,70,1
E0001337061,1,0,80,78,71,1
E0001318329,1,1,53,42,98,0
E0001318207,1,0,41,92,70,1
E0001318226,0,1,70,53,71,0
E0001318123,0,1,61,41,76,1
E0001318156,1,0,50,52,70,0
E0001298785,0,0,74,67,68,1
E0001298799,0,0,58,94,75,0
E0001298658,1,0,57,64,89,1
E0001298663,0,1,76,60,63,1
E0001298611,1,0,87,77,72,1
E0001298555,1,1,82,96,70,1
E0001298471,0,1,65,54,66,0
E0001298344,0,1,56,48,89,0
E0001262506,0,2,54,45,68,1
E0001262539,1,1,96,96,83,1
E0001262488,1,0,64,76,63,0
E0001262169,0,2,55,51,95,1
E0001262174,1,0,59,87,69,1
E0001262188,0,2,96,94,79,1
E0001262009,0,0,66,47,76,0
E0001261997,1,1,81,82,73,1
E0001261594,0,2,46,96,74,1
E0001261631,1,2,100,66,77,1
E0001261659,0,1,55,60,77,1
E0001261518,1,1,55,59,91,1
E0001261575,0,2,100,52,96,1
E0001261453,1,0,55,96,63,0
E0001261472,1,1,83,71,63,1
E0001261486,0,0,52,78,64,1
E0001261383,0,2,45,68,68,1
E0001005344,0,1,91,53,75,0
E0001261289,1,1,51,86,94,1
E0001261312,0,1,45,81,79,1
E0001005255,0,2,89,64,72,1
E0001005293,1,1,53,58,75,0
E0001005203,1,0,66,50,74,1
E0001005222,1,0,93,87,63,1
E0001005096,0,2,98,77,67,1
E0001005133,1,1,47,52,65,0
E0001005011,1,1,57,72,63,1
E0001004956,1,2,92,55,92,1
E0001004961,1,0,48,88,96,1
E0001004975,0,1,84,46,66,1
E0001004989,0,0,73,83,75,1
E0001004797,1,2,73,71,62,1
E0001004829,1,1,69,41,90,1
E0001004731,0,0,87,61,100,1
E0001004759,1,1,42,88,71,1
E0001004478,1,0,64,69,80,1
E0001004394,0,1,49,88,92,1
E0001004426,0,0,78,88,67,1
E0001004445,0,1,87,45,76,1
E0001004286,1,1,64,57,78,1
E0001004291,1,1,59,80,94,1
E0001004342,0,1,45,94,73,1
E0001004201,1,1,41,85,78,1
E0001004126,0,1,41,89,66,1
E0001004197,1,0,58,95,79,1
E0001004056,1,1,47,54,75,1
E0001004075,0,0,42,55,76,1
E0001003992,0,2,66,59,61,0
E0001003851,0,0,55,90,77,0
E0001003781,1,2,57,91,72,1
E0001003687,1,0,70,51,70,1
E0001003584,0,1,44,96,70,1
E0001003551,1,1,83,58,62,1
E0001003438,0,0,97,72,60,1
E0001003462,0,1,84,54,73,1
E0001003335,1,0,49,58,69,1
E0001003373,1,2,87,81,76,1
E0001003284,1,1,49,60,71,0
E0001003302,1,1,81,57,64,1
E0001003162,0,2,53,94,70,1
E0001003181,1,1,65,62,72,0
E0001003105,0,0,42,48,62,0
E0001002999,1,1,58,90,74,1
E0001002933,1,0,42,55,93,1
E0001002952,0,2,55,90,72,1
E0001002741,1,2,51,97,66,1
E0001002755,1,2,90,45,62,1
E0001002769,0,1,99,53,72,1
E0001002774,1,1,47,97,64,1
E0001002788,1,2,42,100,76,1
E0001002793,0,1,82,86,64,1
E0001002652,1,2,47,99,72,1
E0001002703,0,1,56,48,75,0
E0001002717,1,0,79,72,72,1
E0001002722,1,0,56,49,79,1
E0001002614,1,2,80,76,88,1
E0001002633,0,1,89,58,71,1
E0001002647,0,1,85,64,64,1
E0001002506,1,1,81,87,71,1
E0001002525,0,0,73,68,77,1
E0001002539,1,1,56,49,77,1
E0000514506,0,2,76,55,61,1
E0000514511,0,2,65,65,65,1
E0000514436,0,1,82,78,76,1
E0000514441,1,2,59,46,79,0
E0000514296,0,0,41,42,95,1
E0000514309,1,0,69,64,76,1
E0000514333,0,2,56,48,97,1
E0000514347,0,0,55,96,63,1
E0000514141,1,1,57,89,63,1
E0000514085,0,1,47,96,73,0
E0000513983,1,0,84,83,74,1
E0000514014,0,2,79,100,65,1
E0000514052,0,1,85,77,79,1
E0000513907,1,0,79,86,74,1
E0000513978,1,1,41,67,75,1
E0000513786,1,0,58,46,78,0
E0000513748,0,0,81,53,72,1
E0000513683,0,0,81,82,79,1
E0000513697,1,0,50,94,66,1
E0000513715,0,2,58,94,77,1
